id,latitude,longitude,price,minimum_nights,,,,,,,,
13913,51.56802,-0.11121,65,1,,,,,,,,
15400,51.48796,-0.16898,100,3,,,,,,,,
17402,51.52098,-0.14002,500,3,,,,,,,,
24328,51.47298,-0.16376,175,30,,,,,,,,
25023,51.44687,-0.21874,65,4,,,,,,,,
25123,51.57224,-0.20906,29,10,,,,,,,,
26223,51.54168,-0.10207,147,3,,,,,,,,
26482,51.53883,-0.10153,147,2,,,,,,,,
26682,51.48504,-0.18555,75,1,,,,,,,,
33332,51.46507,-0.32421,100,1,,,,,,,,
34825,51.52513,-0.11749,45,1,,,,,,,,
36299,51.47934,-0.28066,195,3,,,,,,,,
36660,51.58461,-0.1617,72,2,,,,,,,,
36986,51.53972,-0.05885,80,6,,,,,,,,
37384,51.46871,-0.06455,70,2,,,,,,,,
38151,51.4194,-0.08722,65,1,,,,,,,,
38407,51.49995,-0.02624,79,2,,,,,,,,
38605,51.50687,-0.23328,62,2,,,,,,,,
38610,51.50819,-0.23284,296,6,,,,,,,,
38950,51.5873,-0.08606,25,1,,,,,,,,
38995,51.47892,-0.0604,45,1,,,,,,,,
39387,51.52589,-0.19942,29,5,,,,,,,,
40228,51.5886,-0.08805,29,1,,,,,,,,
41311,51.57375,-0.2089,25,10,,,,,,,,
41445,51.61648,-0.25788,104,4,,,,,,,,
41509,51.49157,-0.256,49,2,,,,,,,,
41712,51.50205,-0.10015,69,1,,,,,,,,
41870,51.55842,0.00382,35,2,,,,,,,,
42001,51.49441,-0.20479,60,2,,,,,,,,
42010,51.58611,-0.16272,45,2,,,,,,,,
42692,51.50803,-0.21599,125,1,,,,,,,,
42941,51.43712,-0.32142,85,2,,,,,,,,
43129,51.48172,-0.20957,36,2,,,,,,,,
43202,51.53033,-0.21734,100,2,,,,,,,,
44144,51.47483,-0.19303,65,3,,,,,,,,
44237,51.47394,-0.19355,55,1,,,,,,,,
44384,51.59554,-0.24187,35,7,,,,,,,,
44649,51.54061,-0.08463,45,5,,,,,,,,
45163,51.55224,-0.19964,40,2,,,,,,,,
45168,51.51737,-0.19576,120,3,,,,,,,,
46491,51.56172,-0.10054,95,3,,,,,,,,
46992,51.55029,-0.0519,56,3,,,,,,,,
47192,51.5297,-0.14384,39,2,,,,,,,,
47369,51.52121,-0.18517,48,2,,,,,,,,
49970,51.49527,-0.22938,55,1,,,,,,,,
51578,51.55225,-0.05547,75,5,,,,,,,,
51830,51.51732,-0.19313,120,2,,,,,,,,
52151,51.54957,-0.08808,95,4,,,,,,,,
53242,51.47075,-0.12913,55,3,,,,,,,,
53245,51.47246,-0.12727,85,4,,,,,,,,
55402,51.37438,-0.1177,55,14,,,,,,,,
55706,51.49588,-0.1544,270,1,,,,,,,,
56784,51.39998,-0.10548,35,1,,,,,,,,
59656,51.52294,-0.18421,75,1,,,,,,,,
60395,51.4954,-0.31082,23,4,,,,,,,,
62259,51.56509,-0.05026,100,1,,,,,,,,
62260,51.56471,-0.049,50,1,,,,,,,,
62747,51.52126,-0.05696,38,1,,,,,,,,
63864,51.49946,-0.01934,135,5,,,,,,,,
64429,51.52053,-0.20968,55,1,,,,,,,,
64942,51.53204,-0.06126,115,1,,,,,,,,
65638,51.48624,-0.09624,85,6,,,,,,,,
65908,51.45971,-0.12008,80,2,,,,,,,,
66772,51.49404,-0.22738,78,1,,,,,,,,
67025,51.496,-0.15422,160,1,,,,,,,,
67934,51.60202,-0.26139,23,5,,,,,,,,
69198,51.59016,-0.09427,41,1,,,,,,,,
71875,51.52279,-0.13919,148,3,,,,,,,,
71983,51.47435,-0.1544,500,3,,,,,,,,
72059,51.59478,-0.14142,80,1,,,,,,,,
72913,51.48064,-0.11439,45,2,,,,,,,,
73431,51.46295,-0.112,52,3,,,,,,,,
74954,51.4435,-0.19039,25,2,,,,,,,,
75120,51.49389,-0.20418,450,3,,,,,,,,
75995,51.53025,-0.07362,93,7,,,,,,,,
76440,51.54367,0.01051,35,1,,,,,,,,
76623,51.5425,-0.10211,227,2,,,,,,,,
76932,51.52506,-0.1845,200,1,,,,,,,,
78606,51.57157,0.01088,45,1,,,,,,,,
78892,51.46452,-0.0797,32,3,,,,,,,,
79075,51.41073,-0.1133,23,3,,,,,,,,
79129,51.39711,-0.21342,35,1,,,,,,,,
79216,51.43828,-0.01975,50,3,,,,,,,,
79488,51.5187,-0.16726,140,5,,,,,,,,
79571,51.4917,-0.16183,85,2,,,,,,,,
80123,51.4533,-0.15646,95,2,,,,,,,,
80441,51.49494,-0.12004,95,1,,,,,,,,
81015,51.40092,-0.10452,35,1,,,,,,,,
81052,51.53924,-0.10209,133,6,,,,,,,,
81080,51.40692,-0.3345,180,3,,,,,,,,
81211,51.54838,-0.16344,125,14,,,,,,,,
81410,51.52123,-0.14033,360,3,,,,,,,,
81449,51.51163,-0.0668,122,2,,,,,,,,
81470,51.4971,-0.23354,300,4,,,,,,,,
81473,51.41642,-0.07645,40,2,,,,,,,,
81635,51.52842,-0.11141,99,2,,,,,,,,
81951,51.58519,0.15639,190,5,,,,,,,,
82272,51.49089,-0.09879,48,1,,,,,,,,
83308,51.5372,-0.19262,120,3,,,,,,,,
83537,51.5587,-0.09234,42,4,,,,,,,,
